t raw new accept
0.000 0.0000 0.0000 0
0.020 0.0000 0.0000 0
0.040 0.0000 0.0000 0
0.060 0.0000 0.0000 0
0.090 0.0000 0.0000 0
0.110 0.0000 0.0000 0
0.130 0.0000 0.0000 0
0.160 0.0000 0.0000 0
0.180 0.0000 0.0000 0
0.200 0.0000 0.0000 0
0.230 0.0000 0.0000 0
0.250 0.0000 0.0000 0
0.270 0.0000 0.0000 0
0.294 0.0000 0.0000 0
0.324 0.0000 0.0000 0
0.347 0.0000 0.0000 0
0.367 0.0000 0.0000 0
0.400 0.0000 0.0000 0
0.420 0.0000 0.0000 0
0.440 0.0000 0.0000 0
0.475 0.0000 0.0000 0
0.496 0.0000 0.0000 0
0.521 0.0000 0.0000 0
0.541 0.0000 0.0000 0
0.576 0.0000 0.0000 0
0.596 0.0000 0.0000 0
0.620 0.0000 0.0000 0
0.650 0.0000 0.0000 0
0.675 0.0000 0.0000 0
0.695 0.0000 0.0000 0
0.729 0.0000 0.0000 0
0.749 0.0000 0.0000 0
0.769 0.0000 0.0000 0
0.794 0.0000 0.0000 0
0.825 0.0000 0.0000 0
0.849 0.0000 0.0000 0
0.869 0.0000 0.0000 0
0.904 0.0000 0.0000 0
0.924 0.0000 0.0000 0
0.948 0.0000 0.0000 0
0.979 0.0000 0.0000 0
1.004 0.0000 0.0000 0
1.024 0.0000 0.0000 0
1.058 0.0000 0.0000 0
1.078 0.0000 0.0000 0
1.098 0.0000 0.0000 0
1.125 0.0000 0.0000 0
1.155 0.0000 0.0000 0
1.179 0.0000 0.0000 0
1.199 0.0000 0.0000 0
1.234 0.0000 0.0000 0
1.254 0.0000 0.0000 0
1.280 0.0000 0.0000 0
1.310 0.0000 0.0000 0
1.335 0.0000 0.0000 0
1.355 0.0000 0.0000 0
1.375 0.0000 0.0000 0
1.409 0.0000 0.0000 0
1.429 0.0000 0.0000 0
1.454 0.0000 0.0000 0
1.484 0.0000 0.0000 0
1.508 0.0000 0.0000 0
1.528 0.0000 0.0000 0
1.562 0.0000 0.0000 0
1.582 0.0000 0.0000 0
1.607 0.0000 0.0000 0
1.627 0.0000 0.0000 0
1.661 0.0000 0.0000 0
1.681 0.0000 0.0000 0
1.701 0.0000 0.0000 0
1.736 0.0000 0.0000 0
1.756 0.0000 0.0000 0
1.779 0.0000 0.0000 0
1.809 0.0000 0.0000 0
1.831 0.0000 0.0000 0
1.851 0.0000 0.0000 0
1.871 0.0000 0.0000 0
1.901 0.0000 0.0000 0
