ox oy ex ey
-27.000 -36.000 -27.000 -36.000
-26.037 -33.010 -26.037 -33.010
-26.037 -33.010 -26.037 -33.010
-26.052 -32.855 -26.052 -32.855
-26.042 -32.464 -26.042 -32.464
-26.048 -31.919 -26.048 -31.919
-26.039 -31.241 -26.039 -31.241
-26.089 -30.440 -26.089 -30.440
-26.054 -29.548 -26.054 -29.548
-26.070 -28.640 -26.070 -28.640
-26.095 -27.696 -26.095 -27.696
-26.074 -26.728 -26.074 -26.728
-26.093 -25.756 -26.093 -25.756
-26.061 -24.836 -26.061 -24.836
-26.039 -23.938 -26.039 -23.938
-26.052 -23.333 -26.052 -23.333
-26.089 -22.457 -26.089 -22.457
-26.061 -21.613 -26.061 -21.613
-26.082 -20.830 -26.082 -20.830
-26.108 -20.281 -26.108 -20.281
-26.129 -19.529 -26.129 -19.529
-26.122 -18.576 -26.122 -18.576
-26.134 -18.128 -26.134 -18.128
-26.153 -17.446 -26.153 -17.446
-26.139 -16.815 -26.139 -16.815
-26.115 -16.191 -26.115 -16.191
-26.125 -15.813 -26.125 -15.813
-26.139 -15.239 -26.139 -15.239
-26.144 -14.623 -26.144 -14.623
-26.120 -14.028 -26.120 -14.028
-26.110 -13.617 -26.110 -13.617
-26.104 -12.920 -26.104 -12.920
-26.106 -12.396 -26.106 -12.396
-26.110 -11.999 -26.110 -11.999
-26.116 -11.762 -26.116 -11.762
-26.119 -11.463 -26.119 -11.463
-26.124 -11.231 -26.124 -11.231
-26.128 -11.116 -26.534 -11.936
-26.125 -11.115 -26.530 -11.936
-26.125 -11.066 -26.531 -11.887
-26.125 -11.066 -26.531 -11.887
-26.126 -11.026 -26.532 -11.846
-26.125 -11.003 -26.531 -11.824
-26.094 -10.980 -26.500 -11.800
-26.032 -10.979 -26.438 -11.800
-26.212 -10.966 -26.618 -11.787
-26.165 -11.100 -26.571 -11.920
-26.219 -11.161 -26.625 -11.981
-26.370 -11.160 -26.776 -11.981
-26.320 -11.240 -26.726 -12.060
-26.462 -11.174 -26.868 -11.994
-26.381 -11.269 -26.787 -12.090
-26.502 -11.175 -26.908 -11.996
-26.454 -11.271 -26.860 -12.092
-26.588 -11.133 -26.994 -11.954
-26.620 -11.092 -27.026 -11.913
-26.665 -11.070 -27.071 -11.891
-26.702 -11.150 -27.108 -11.971
-26.729 -11.045 -27.135 -11.866
-26.759 -11.046 -27.165 -11.867
-26.792 -11.068 -27.198 -11.888
-26.805 -11.054 -27.211 -11.875
-26.805 -11.042 -27.211 -11.863
-26.805 -11.040 -27.212 -11.861
-26.806 -11.031 -27.212 -11.852
-26.807 -11.021 -27.213 -11.841
-26.807 -11.014 -27.213 -11.835
-26.574 -10.986 -26.980 -11.807
-26.144 -10.940 -26.550 -11.761
-25.714 -10.903 -26.120 -11.724
-25.028 -10.832 -25.434 -11.653
-24.294 -10.730 -24.700 -11.551
-23.444 -10.621 -23.849 -11.442
-22.542 -10.511 -22.948 -11.331
-21.542 -10.391 -21.948 -11.211
-20.689 -10.288 -21.095 -11.109
-20.107 -10.205 -20.512 -11.025
-19.187 -10.123 -19.593 -10.944
-18.415 -10.034 -18.820 -10.855
-17.554 -9.919 -17.960 -10.740
-16.964 -9.857 -17.370 -10.678
-16.003 -9.785 -16.410 -10.606
-15.361 -9.721 -15.767 -10.542
-14.441 -9.618 -14.847 -10.439
-13.575 -9.550 -13.981 -10.371
-12.687 -9.458 -13.093 -10.279
-12.139 -9.400 -12.545 -10.221
-11.302 -9.313 -11.708 -10.134
-10.774 -9.256 -11.180 -10.077
-10.009 -9.188 -10.415 -10.009
-9.264 -9.122 -9.670 -9.942
-8.834 -9.108 -9.240 -9.929
-8.286 -9.054 -8.692 -9.875
-7.786 -9.055 -8.192 -9.876
-7.378 -9.057 -7.784 -9.878
-6.897 -9.061 -7.303 -9.882
-6.371 -9.071 -6.777 -9.891
-6.009 -9.065 -6.415 -9.886
-5.512 -9.076 -5.918 -9.897
-5.057 -9.087 -5.463 -9.907
-4.632 -9.097 -5.038 -9.917
-4.402 -9.098 -4.808 -9.918
-4.137 -9.100 -4.543 -9.920
-3.996 -9.097 -4.374 -10.819
-3.996 -9.097 -4.374 -10.819
-3.957 -9.095 -4.335 -10.817
-3.957 -9.094 -4.335 -10.816
-3.930 -9.092 -4.307 -10.814
-3.898 -9.137 -4.275 -10.859
-3.929 -9.156 -4.306 -10.877
-4.005 -9.052 -4.383 -10.774
